,2015,2016,2017,2018,2019,Temporal
Temporal,0.9562094083031325,0.9835372636262514,0.9912016936380925,0.9884602963866662,0.990627579030464,1.0
2019,0.9275323836520866,0.9636441924719222,0.9831640891312928,0.9898955829057375,1.0,0.990627579030464
2018,0.9319961247263985,0.961448204097743,0.9800351645197173,1.0,0.9898955829057375,0.9884602963866662
2017,0.954630593132154,0.9808245721052065,1.0,0.9800351645197173,0.9831640891312928,0.9912016936380925
2016,0.98109727654383,1.0,0.9808245721052065,0.961448204097743,0.9636441924719222,0.9835372636262514
2015,1.0,0.98109727654383,0.954630593132154,0.9319961247263985,0.9275323836520866,0.9562094083031325
