,2015,2016,2017,2018,2019,Temporal
Temporal,0.9448275862068966,0.9795328142380423,0.9906562847608453,0.9866518353726362,0.9884315906562847,1.0
2019,0.9083426028921023,0.9550611790878755,0.9790878754171302,0.9862068965517241,1.0,0.9884315906562847
2018,0.914571746384872,0.9528364849833147,0.9764182424916574,1.0,0.9862068965517241,0.9866518353726362
2017,0.9470522803114572,0.9804226918798665,1.0,0.9764182424916574,0.9790878754171302,0.9906562847608453
2016,0.9781979977753059,1.0,0.9804226918798665,0.9528364849833147,0.9550611790878755,0.9795328142380423
2015,1.0,0.9781979977753059,0.9470522803114572,0.914571746384872,0.9083426028921023,0.9448275862068966
