,cp,kp,vp,wp
2019,0.0,1.0,1.0,0.3838862559241707
2018,0.5,1.5,0.6666666666666666,0.2559241706161138
2017,0.5,1.5,0.4444444444444444,0.17061611374407584
2016,0.5,1.5,0.2962962962962963,0.1137440758293839
2015,0.5,1.5,0.19753086419753085,0.07582938388625593
